Num_Acc;id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor;occutc
202300000070;155680433;A01;1;33;0;2;1;2;1;
202300000070;155680434;B01;0;33;0;2;4;2;1;
202300000071;155680431;A01;2;7;1;0;4;11;1;
202300000071;155680432;B01;2;7;0;2;1;1;1;
202300000072;155680429;A01;1;33;0;2;1;2;1;
202300000072;155680430;B01;1;7;0;2;4;2;1;
202300000073;155680428;A01;1;30;0;0;2;26;1;
202300000074;155680426;B01;1;7;0;2;6;1;1;
202300000074;155680427;A01;1;7;0;2;2;12;1;
202300000075;155680424;A01;1;7;4;0;1;1;1;
202300000076;155680423;B01;1;50;0;2;1;19;3;
202300000076;155680425;A01;1;7;0;2;2;16;0;
202300000077;155680420;A01;2;7;0;2;1;1;1;
202300000077;155680422;B01;2;7;0;2;4;23;1;
202300000078;155680419;A01;2;7;0;2;3;1;1;
202300000078;155680421;B01;2;32;0;2;1;1;1;
202300000079;155680418;A01;1;7;4;0;1;1;1;
202300000080;155680417;A01;1;32;0;0;1;0;1;
202300000081;155680415;A01;1;7;0;2;1;1;1;
202300000081;155680416;B01;1;7;0;2;4;1;1;
202300000082;155680414;A01;2;7;0;2;4;9;1;
202300000083;155680411;A01;1;7;0;2;1;17;1;
202300000083;155680413;B01;1;7;0;2;4;1;1;
202300000084;155680410;A01;2;7;0;2;2;13;1;
202300000084;155680412;B01;1;7;0;2;8;1;1;
202300000085;155680409;A01;1;7;16;0;9;2;1;
202300000086;155680408;A01;1;7;0;1;0;26;1;
202300000087;155680407;A01;1;7;4;0;2;1;1;
202300000088;155680406;A01;1;32;14;0;7;21;1;
202300000089;155680404;B01;1;7;0;2;8;1;1;
202300000089;155680405;A01;1;7;0;2;2;14;1;
202300000090;155680402;A01;2;10;0;2;3;19;1;
202300000090;155680403;B01;1;33;0;2;1;3;1;
202300000091;155680399;C01;1;10;0;2;3;2;1;
202300000091;155680400;A01;1;7;0;2;4;2;2;
202300000091;155680401;B01;1;7;0;2;5;2;1;
202300000092;155680398;A01;2;7;0;1;1;1;1;
202300000093;155680397;A01;2;7;0;0;9;1;1;
202300000094;155680395;B01;1;10;0;2;1;2;1;
202300000094;155680396;A01;1;7;0;2;4;1;1;
202300000095;155680393;B01;2;7;0;2;1;2;1;
202300000095;155680394;A01;2;7;0;2;4;1;1;
202300000096;155680391;A01;2;7;0;2;2;15;1;
202300000096;155680392;B01;1;10;0;2;1;1;1;
202300000097;155680389;A01;2;33;0;2;1;1;1;
202300000097;155680390;B01;1;30;14;0;3;15;1;
202300000098;155680386;A01;1;7;0;2;2;9;1;
202300000098;155680388;B01;1;50;0;2;1;1;3;
202300000099;155680385;B01;1;7;0;2;5;2;1;
202300000099;155680387;A01;1;31;0;2;1;26;1;
202300000100;155680383;A01;3;7;0;1;1;1;1;
202300000101;155680382;A01;1;7;0;2;1;2;0;
202300000101;155680384;B01;1;10;0;2;6;1;1;
202300000102;155680380;A01;2;7;0;1;8;1;1;
202300000103;155680379;B01;1;7;0;2;3;15;1;
202300000103;155680381;A01;1;30;0;2;1;17;1;
202300000104;155680377;A01;1;7;0;1;4;4;1;
202300000105;155680376;A01;1;7;0;2;1;26;1;
202300000105;155680378;B01;1;7;0;2;4;0;0;
202300000106;155680374;A01;3;33;0;2;7;15;1;
202300000106;155680375;B01;3;31;0;2;1;1;1;
202300000107;155680371;A01;1;7;0;2;3;9;1;
202300000107;155680372;B01;2;7;0;2;2;1;1;
202300000108;155680368;A01;2;30;0;0;0;0;1;
202300000109;155680366;A01;2;10;0;2;3;9;1;
202300000109;155680367;B01;2;34;0;2;1;1;1;
202300000110;155680364;A01;0;7;0;1;1;15;6;
202300000111;155680363;B01;2;2;0;2;1;1;1;
202300000111;155680365;A01;3;7;0;2;3;9;1;
202300000112;155680361;A01;1;38;0;1;2;1;1;1.0
202300000113;155680360;A01;1;7;0;2;1;15;1;
202300000113;155680362;B01;1;7;0;2;2;1;1;
202300000114;155680357;A01;1;7;13;0;0;1;1;
202300000115;155680355;B01;1;7;0;2;4;2;1;
202300000115;155680358;A01;1;7;0;2;1;2;1;
202300000116;155680354;A01;3;7;0;1;4;23;1;
202300000117;155680350;A01;1;7;0;2;2;15;1;
202300000117;155680353;B01;1;33;0;2;1;1;1;
202300000118;155680349;A01;2;10;0;2;2;1;1;
202300000118;155680351;B01;2;1;0;2;4;2;5;
202300000119;155680345;A01;2;7;1;0;1;1;1;
202300000120;155680346;A01;1;7;0;2;1;1;1;
202300000120;155680347;B01;1;7;0;2;4;23;1;
202300000121;155680342;A01;1;7;2;0;3;13;0;
202300000122;155680340;B01;2;7;0;2;4;2;1;
202300000122;155680343;A01;2;7;0;2;1;2;1;
202300000122;155680344;C01;2;38;0;2;4;2;1;1.0
202300000123;155680339;B01;1;7;0;2;1;15;1;
202300000123;155680341;A01;2;33;0;2;1;1;1;
202300000124;155680336;B01;1;7;0;2;3;26;1;
202300000124;155680338;A01;2;7;0;2;3;13;1;
202300000125;155680330;A01;2;7;0;2;2;1;1;
202300000125;155680332;B01;1;7;0;2;2;1;1;
202300000125;155680335;C01;1;10;0;2;5;15;1;
202300000126;155680329;C01;3;7;0;2;4;1;1;
202300000126;155680331;D01;3;7;0;2;4;1;1;
202300000126;155680334;A01;3;37;1;2;3;9;1;3.0
202300000126;155680337;B01;3;7;0;2;4;3;1;
202300000127;155680328;A01;2;99;0;2;1;1;1;
202300000127;155680333;B01;1;7;0;2;6;1;3;
202300000128;155680327;A01;1;7;13;0;1;1;1;
202300000129;155680322;B01;1;10;0;2;4;2;1;
202300000129;155680325;C01;1;7;0;2;4;2;1;
202300000129;155680326;A01;1;10;0;2;1;1;1;
202300000130;155680321;A01;2;14;0;2;2;15;1;
202300000130;155680323;B01;2;33;0;2;1;1;1;
202300000131;155680319;A01;0;30;0;0;0;1;1;
202300000132;155680320;A01;1;2;0;2;2;5;1;
202300000132;155680324;B01;2;10;0;2;3;16;1;
202300000133;155680318;A01;1;7;2;0;8;1;1;
202300000134;155680316;A01;2;7;0;1;3;1;1;
202300000135;155680315;B01;2;10;0;2;1;1;1;
202300000135;155680317;A01;1;7;0;2;1;13;1;
